2023-09-26 10:05:41 - ID: Nires-45499, Name: Nires, Level: 35, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Plâto-28368, Name: Plâto, Level: 5, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nicobif-22005, Name: Nicobif, Level: 24, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Edzio-22474, Name: Edzio, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Hamiltons-63877, Name: Hamiltons, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ketaminkalt-50716, Name: Ketaminkalt, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Siffchee-731, Name: Siffchee, Level: 18, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Qian-46130, Name: Qian, Level: 26, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Hygée-34492, Name: Hygée, Level: 11, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Crashkill-62050, Name: Crashkill, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Okwarrior-13998, Name: Okwarrior, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Zokauw-28227, Name: Zokauw, Level: 10, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Slishet-38053, Name: Slishet, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Sipo-63484, Name: Sipo, Level: 40, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Multicat-6503, Name: Multicat, Level: 25, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Demontis-4063, Name: Demontis, Level: 9, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Divinrenard-14401, Name: Divinrenard, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Cubic-26542, Name: Cubic, Level: 9, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Mistylee-11509, Name: Mistylee, Level: 24, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Beyondbored-17772, Name: Beyondbored, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ícé-34057, Name: Ícé, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Pasallopecie-61741, Name: Pasallopecie, Level: 26, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Unevi-63178, Name: Unevi, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Venaya-50647, Name: Venaya, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Rokovoy-22468, Name: Rokovoy, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Raizar-34793, Name: Raizar, Level: 41, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Byxan-3433, Name: Byxan, Level: 47, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Oxydia-28677, Name: Oxydia, Level: 40, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Schurkenifuh-43658, Name: Schurkenifuh, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Kototaipbis-29701, Name: Kototaipbis, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Biero-41259, Name: Biero, Level: 56, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Velosian-28171, Name: Velosian, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Fasbifurieux-50310, Name: Fasbifurieux, Level: 6, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Verapalehpad-18142, Name: Verapalehpad, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Slickpeepo-21527, Name: Slickpeepo, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Kharnipala-36754, Name: Kharnipala, Level: 18, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ephos-39108, Name: Ephos, Level: 14, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Sauzer-55175, Name: Sauzer, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Drago-7544, Name: Drago, Level: 59, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Satiraka-59892, Name: Satiraka, Level: 30, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Maexxer-48063, Name: Maexxer, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Dorito-15106, Name: Dorito, Level: 29, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ritogames-57368, Name: Ritogames, Level: 23, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Arbeitszeit-41553, Name: Arbeitszeit, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Darssouille-42571, Name: Darssouille, Level: 10, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Dilerxz-26303, Name: Dilerxz, Level: 58, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Idieiquitlul-1227, Name: Idieiquitlul, Level: 6, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Gødøfwar-55577, Name: Gødøfwar, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Topriest-55697, Name: Topriest, Level: 11, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Stuyvesant-46918, Name: Stuyvesant, Level: 11, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Sikal-50228, Name: Sikal, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Borden-15350, Name: Borden, Level: 6, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Bimbobeutlin-59630, Name: Bimbobeutlin, Level: 24, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Himejima-33752, Name: Himejima, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ethellyn-47980, Name: Ethellyn, Level: 38, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ailise-34134, Name: Ailise, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Awoogers-46920, Name: Awoogers, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Lekorvi-16857, Name: Lekorvi, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Wyren-61168, Name: Wyren, Level: 25, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Fajnacipka-56987, Name: Fajnacipka, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Avathar-54416, Name: Avathar, Level: 26, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Magephorn-37796, Name: Magephorn, Level: 11, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Lägerer-5701, Name: Lägerer, Level: 9, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nopeitwo-61484, Name: Nopeitwo, Level: 7, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Donpito-51820, Name: Donpito, Level: 36, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Lagdcban-42509, Name: Lagdcban, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Toeboy-7588, Name: Toeboy, Level: 12, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Redroot-49160, Name: Redroot, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Holymekael-31921, Name: Holymekael, Level: 8, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Namitheboss-12139, Name: Namitheboss, Level: 30, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Gohr-8893, Name: Gohr, Level: 10, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Daethers-21494, Name: Daethers, Level: 21, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Sicknèss-48789, Name: Sicknèss, Level: 6, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Orrlen-25215, Name: Orrlen, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Naravas-51231, Name: Naravas, Level: 19, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Kemel-3336, Name: Kemel, Level: 23, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nedjs-26914, Name: Nedjs, Level: 11, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Notdéad-19941, Name: Notdéad, Level: 20, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Vistezo-27651, Name: Vistezo, Level: 19, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ctrlpre-27868, Name: Ctrlpre, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Wasäbi-15371, Name: Wasäbi, Level: 12, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Sarinety-29831, Name: Sarinety, Level: 34, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Floppathird-7661, Name: Floppathird, Level: 10, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Swftnss-56635, Name: Swftnss, Level: 49, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Aldersbach-61945, Name: Aldersbach, Level: 11, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Clotted-6412, Name: Clotted, Level: 19, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Kléiahc-56307, Name: Kléiahc, Level: 29, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Ramsie-62874, Name: Ramsie, Level: 36, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nosumm-31013, Name: Nosumm, Level: 11, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Leandrin-30590, Name: Leandrin, Level: 7, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Incap-12793, Name: Incap, Level: 23, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Nostalgybolt-27965, Name: Nostalgybolt, Level: 42, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Moarbrew-7178, Name: Moarbrew, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Poofiexd-42798, Name: Poofiexd, Level: 26, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Granny-39799, Name: Granny, Level: 10, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Monóry-42674, Name: Monóry, Level: 20, Race: Unknown, Class: Unknown
